SYMBOL,DATE,TIME,BID,OFR,BIDSIZ,OFRSIZ,MODE,EX,MMID
A,20060920,4:15:00,1,35,1,1,12,P,
A,20060920,4:16:00,0,35,0,1,12,P,
A,20060920,6:17:46,1,35,1,1,12,P,
A,20060920,6:39:15,0,35,0,1,12,P,
A,20060920,7:09:12,0,0,0,0,12,P,
A,20060920,7:27:51,1,0,1,0,12,P,
A,20060920,7:39:55,1,33.2,1,1,12,P,
A,20060920,7:40:16,0,33.2,0,1,12,P,
A,20060920,7:44:37,29.55,33.2,60,1,12,P,
A,20060920,7:48:57,30.6,33.2,3,1,12,P,
A,20060920,8:03:21,30.6,33.2,3,21,12,P,
A,20060920,8:03:52,30.6,33.2,3,1,12,P,
A,20060920,8:03:53,30.6,33.09,3,20,12,P,
A,20060920,8:04:07,30.6,33.2,3,1,12,P,
A,20060920,8:04:08,30.6,32.97,3,20,12,P,
A,20060920,8:04:23,30.6,33.2,3,1,12,P,
A,20060920,8:04:24,30.6,32.85,3,20,12,P,
A,20060920,8:04:27,30.6,32.85,23,20,12,P,
A,20060920,8:17:03,30.6,32.85,3,20,12,P,
A,20060920,8:19:09,31.45,32.85,1,20,12,P,
A,20060920,8:30:01,0,0,0,0,12,D,AUTO
A,20060920,8:30:01,28,35,1,1,12,D,NAQS
A,20060920,8:30:01,0,0,0,0,12,D,BRUT
A,20060920,8:30:01,0,0,0,0,12,D,BTRD
A,20060920,8:30:01,0,0,0,0,12,D,CDRG
A,20060920,8:30:01,1,100,1,1,12,D,CRTC
A,20060920,8:30:01,0,0,0,0,12,D,EDGX
A,20060920,8:30:01,0,0,0,0,12,D,INET
A,20060920,8:30:01,0,0,0,0,12,D,MADF
A,20060920,8:30:01,28,62.09,1,1,12,D,PERT
A,20060920,8:30:01,25,35,1,1,12,D,RYAN
A,20060920,8:30:01,0,0,0,0,12,D,SBSH
A,20060920,8:30:01,0,0,0,0,12,D,SIZE
A,20060920,8:30:01,0,0,0,0,12,D,TRIM
A,20060920,8:30:01,0.01,2000,1,1,12,D,UBSS
A,20060920,8:30:09,0.01,4000,1,1,12,D,BTRD
A,20060920,8:30:11,0.01,2000,1,1,12,D,SBSH
A,20060920,8:30:11,29.05,2000,1,1,12,D,BRUT
A,20060920,8:30:11,29.05,35,1,1,12,D,NAQS
A,20060920,8:30:15,30.04,2000,20,1,12,D,BRUT
A,20060920,8:30:15,30.04,35,20,1,12,D,NAQS
A,20060920,8:30:15,30.04,33.51,20,20,12,D,BRUT
A,20060920,8:30:15,30.04,33.51,20,20,12,D,NAQS
A,20060920,8:30:15,30.04,2000,20,1,12,D,BRUT
A,20060920,8:30:15,30.04,35,20,1,12,D,NAQS
A,20060920,8:30:15,30.04,33.39,20,20,12,D,BRUT
A,20060920,8:30:15,30.04,33.39,20,20,12,D,NAQS
A,20060920,8:30:15,29.05,33.39,1,20,12,D,BRUT
A,20060920,8:30:15,29.05,33.39,1,20,12,D,NAQS
A,20060920,8:30:15,30.15,33.39,20,20,12,D,BRUT
A,20060920,8:30:15,30.15,33.39,20,20,12,D,NAQS
A,20060920,8:30:15,30.15,2000,20,1,12,D,BRUT
A,20060920,8:30:15,30.15,35,20,1,12,D,NAQS
A,20060920,8:30:15,30.15,33.27,20,20,12,D,BRUT
A,20060920,8:30:15,30.15,33.27,20,20,12,D,NAQS
A,20060920,8:30:15,29.05,33.27,1,20,12,D,BRUT
A,20060920,8:30:15,29.05,33.27,1,20,12,D,NAQS
A,20060920,8:30:15,29.05,2000,1,1,12,D,BRUT
A,20060920,8:30:15,29.05,35,1,1,12,D,NAQS
A,20060920,8:30:15,30.26,2000,20,1,12,D,BRUT
A,20060920,8:30:15,30.26,35,20,1,12,D,NAQS
A,20060920,8:30:15,30.26,33.15,20,20,12,D,BRUT
A,20060920,8:30:15,30.26,33.15,20,20,12,D,NAQS
A,20060920,8:30:15,30.26,2000,20,1,12,D,BRUT
A,20060920,8:30:15,30.26,35,20,1,12,D,NAQS
A,20060920,8:30:15,30.26,33.03,20,20,12,D,BRUT
A,20060920,8:30:15,30.26,33.03,20,20,12,D,NAQS
A,20060920,8:30:15,29.05,33.03,1,20,12,D,BRUT
A,20060920,8:30:15,29.05,33.03,1,20,12,D,NAQS
A,20060920,8:30:15,30.37,33.03,20,20,12,D,BRUT
A,20060920,8:30:15,30.37,33.03,20,20,12,D,NAQS
A,20060920,8:30:15,30.37,2000,20,1,12,D,BRUT
A,20060920,8:30:15,30.37,35,20,1,12,D,NAQS
A,20060920,8:30:15,30.37,32.91,20,20,12,D,BRUT
A,20060920,8:30:15,30.37,32.91,20,20,12,D,NAQS
A,20060920,8:30:16,30.6,32.91,1,20,12,D,BRUT
A,20060920,8:30:16,30.6,32.91,1,20,12,D,NAQS
A,20060920,8:30:16,30.6,32.91,21,20,12,D,BRUT
A,20060920,8:30:16,30.6,32.91,21,20,12,D,NAQS
A,20060920,8:30:17,0.01,2000,1,1,12,D,UBSS
A,20060920,8:30:18,30.6,32.91,20,20,12,D,BRUT
A,20060920,8:30:18,30.6,32.91,20,20,12,D,NAQS
A,20060920,8:30:18,29.7,32.91,21,20,12,D,BRUT
A,20060920,8:30:18,29.7,32.91,21,20,12,D,NAQS
A,20060920,8:30:18,29.88,32.91,20,20,12,D,BRUT
A,20060920,8:30:18,29.88,32.91,20,20,12,D,NAQS
A,20060920,8:30:18,29.81,32.91,21,20,12,D,BRUT
A,20060920,8:30:18,29.81,32.91,21,20,12,D,NAQS
A,20060920,8:30:18,29.99,32.91,20,20,12,D,BRUT
A,20060920,8:30:18,29.99,32.91,20,20,12,D,NAQS
A,20060920,8:30:18,29.99,32.91,41,20,12,D,BRUT
A,20060920,8:30:18,29.99,32.91,41,20,12,D,NAQS
A,20060920,8:30:18,29.99,32.91,21,20,12,D,BRUT
A,20060920,8:30:18,29.99,32.91,21,20,12,D,NAQS
A,20060920,8:30:18,30.1,32.91,20,20,12,D,BRUT
A,20060920,8:30:18,30.1,32.91,20,20,12,D,NAQS
A,20060920,8:30:18,30.1,32.91,41,20,12,D,BRUT
A,20060920,8:30:18,30.1,32.91,41,20,12,D,NAQS
A,20060920,8:30:18,30.1,32.91,21,20,12,D,BRUT
A,20060920,8:30:18,30.1,32.91,21,20,12,D,NAQS
A,20060920,8:30:18,30.21,32.91,20,20,12,D,BRUT
A,20060920,8:30:18,30.21,32.91,20,20,12,D,NAQS
A,20060920,8:30:18,30.21,32.91,41,20,12,D,BRUT
A,20060920,8:30:18,30.21,32.91,41,20,12,D,NAQS
A,20060920,8:30:19,30.21,32.91,20,20,12,D,BRUT
A,20060920,8:30:19,30.21,32.91,20,20,12,D,NAQS
A,20060920,8:30:19,30.32,32.91,21,20,12,D,BRUT
A,20060920,8:30:19,30.32,32.91,21,20,12,D,NAQS
A,20060920,8:30:19,30.32,32.91,41,20,12,D,BRUT
A,20060920,8:30:19,30.32,32.91,41,20,12,D,NAQS
A,20060920,8:30:19,30.32,32.91,20,20,12,D,BRUT
A,20060920,8:30:19,30.32,32.91,20,20,12,D,NAQS
A,20060920,8:30:19,30.43,32.91,21,20,12,D,BRUT
A,20060920,8:30:19,30.43,32.91,21,20,12,D,NAQS
A,20060920,8:30:19,30.43,32.91,41,20,12,D,BRUT
A,20060920,8:30:19,30.43,32.91,41,20,12,D,NAQS
A,20060920,8:30:19,30.43,32.91,20,20,12,D,BRUT
A,20060920,8:30:19,30.43,32.91,20,20,12,D,NAQS
A,20060920,8:30:19,30.54,32.91,21,20,12,D,BRUT
A,20060920,8:30:19,30.54,32.91,21,20,12,D,NAQS
A,20060920,8:30:19,30.54,32.91,41,20,12,D,BRUT
A,20060920,8:30:19,30.54,32.91,41,20,12,D,NAQS
A,20060920,8:32:24,30.54,32.91,21,20,12,D,BRUT
A,20060920,8:32:24,30.54,32.91,21,20,12,D,NAQS
A,20060920,8:32:24,0.01,32.91,1,20,12,D,BRUT
A,20060920,8:32:24,28,32.91,1,20,12,D,NAQS
A,20060920,8:32:25,29.96,32.91,20,20,12,D,BRUT
A,20060920,8:32:25,29.96,32.91,20,20,12,D,NAQS
A,20060920,8:33:08,30.01,32.91,1,20,12,D,BRUT
A,20060920,8:33:08,30.01,32.91,1,20,12,D,NAQS
A,20060920,8:33:10,30.01,32.91,21,20,12,D,BRUT
A,20060920,8:33:10,30.01,32.91,21,20,12,D,NAQS
A,20060920,8:33:28,30.01,32.91,20,20,12,D,BRUT
A,20060920,8:33:28,30.01,32.91,20,20,12,D,NAQS
A,20060920,8:37:50,29.06,32.91,21,20,12,D,BRUT
A,20060920,8:37:50,29.06,32.91,21,20,12,D,NAQS
A,20060920,8:37:50,0.01,32.91,1,20,12,D,BRUT
A,20060920,8:37:50,28,32.91,1,20,12,D,NAQS
A,20060920,8:38:01,29.62,32.91,20,20,12,D,BRUT
A,20060920,8:38:01,29.62,32.91,20,20,12,D,NAQS
A,20060920,8:41:42,28.94,32.91,21,20,12,D,BRUT
A,20060920,8:41:42,28.94,32.91,21,20,12,D,NAQS
A,20060920,8:41:43,29.73,32.91,20,20,12,D,BRUT
A,20060920,8:41:43,29.73,32.91,20,20,12,D,NAQS
A,20060920,8:42:58,29.27,32.91,21,20,12,D,BRUT
A,20060920,8:42:58,29.27,32.91,21,20,12,D,NAQS
A,20060920,8:42:59,29.84,32.91,20,20,12,D,BRUT
A,20060920,8:42:59,29.84,32.91,20,20,12,D,NAQS
A,20060920,8:45:06,1,100,1,1,12,D,CRTC
A,20060920,8:46:34,31.45,32.35,1,20,12,P,
A,20060920,8:54:15,31.45,32.85,1,20,12,P,
A,20060920,8:58:19,29.06,32.91,21,20,12,D,BRUT
A,20060920,8:58:19,29.06,32.91,21,20,12,D,NAQS
A,20060920,8:58:20,29.95,32.91,20,20,12,D,BRUT
